# id ra dec s L A b x y a flux
0.000000000000000000e+00 1.851698110121719196e+02 2.862376146468934124e+01 3.221112710135044299e+00 2.249994591092977032e+02 8.993682576888615188e+01 5.035582328234931992e+01 1.457676502002854704e+03 3.068293688088365343e+03 -2.850000000000000000e+01 9.072523750000000000e+05
1.000000000000000000e+00 1.851790943043013158e+02 2.863832175162329463e+01 3.349445372875298421e+00 2.249995191754499899e+02 8.996318462517569969e+01 5.039419811180407294e+01 1.730024482313149520e+03 2.897247571664541283e+03 -2.850000000000000000e+01 9.240533750000000000e+05
2.000000000000000000e+00 1.852080660330883290e+02 2.859804181609854368e+01 3.333207111011646795e+00 2.249994775999787748e+02 8.998055045671026164e+01 5.039725186842366611e+01 1.789964316756926337e+03 3.812661594939991573e+03 -2.850000000000000000e+01 6.824496250000000000e+05
3.000000000000000000e+00 1.852164238835576384e+02 2.862896246509316711e+01 3.614972681569192936e+00 2.249994930621744516e+02 8.998472760181367391e+01 5.038885496056442292e+01 2.198868444517005628e+03 3.356431859707414333e+03 -2.850000000000000000e+01 6.513032500000000000e+05
4.000000000000000000e+00 1.852286691968692196e+02 2.862255831136118545e+01 3.088676010404228123e+00 2.249994568948975200e+02 8.996821250137719517e+01 5.037943051990900756e+01 2.322250721499261545e+03 3.563365950335564776e+03 -2.850000000000000000e+01 7.723811875000000000e+05
5.000000000000000000e+00 1.851543216904271958e+02 2.864034221277233172e+01 3.622971634828958898e+00 2.249995272422232517e+02 8.998014824586299198e+01 5.039675591423723944e+01 1.380785463067668161e+03 2.663430434484288526e+03 -2.850000000000000000e+01 7.578428750000000000e+05
6.000000000000000000e+00 1.851744568780646034e+02 2.866010325103482970e+01 3.589352683570578240e+00 2.249995030201673956e+02 8.996274646142587983e+01 5.038601490549710604e+01 1.860775010955987909e+03 2.491675943726384503e+03 -2.850000000000000000e+01 6.903333750000000000e+05
7.000000000000000000e+00 1.851581391669222114e+02 2.857265196758884329e+01 3.451823018334356341e+00 2.249994942558686830e+02 8.998657682565807647e+01 5.039526756240744021e+01 8.157423499956469186e+02 3.838770357637969482e+03 -2.850000000000000000e+01 7.239218750000000000e+05
8.000000000000000000e+00 1.851365323868741655e+02 2.866484378434381952e+01 3.920149323126223440e+00 2.249995023797748388e+02 8.998160713157248836e+01 5.041287125639658484e+01 1.341614714244779407e+03 2.105584658162354117e+03 -2.850000000000000000e+01 7.118004375000000000e+05
9.000000000000000000e+00 1.851503881053346845e+02 2.868353377456514863e+01 3.320441151543343405e+00 2.249995007784833660e+02 8.991876934610890260e+01 5.036685375543770249e+01 1.718901120620243546e+03 1.900584851624051225e+03 -2.850000000000000000e+01 9.750572500000000000e+05
1.000000000000000000e+01 1.851923487966847972e+02 2.869265112163770226e+01 4.014400677210444357e+00 2.249995093106551280e+02 8.992402654405466933e+01 5.032989408111127716e+01 2.427114293224000448e+03 2.085113814262367669e+03 -2.850000000000000000e+01 9.314571250000000000e+05
1.100000000000000000e+01 1.852091867065556698e+02 2.873412387148995251e+01 3.909274321376468908e+00 2.249995017632319616e+02 8.999005997905217669e+01 5.042464836010495333e+01 3.057438266654030940e+03 1.518586935283997946e+03 -2.850000000000000000e+01 7.241062500000000000e+05
1.200000000000000000e+01 1.852131700544096873e+02 2.873744126409174982e+01 3.311263378756265308e+00 2.249994685523035116e+02 8.993330516413800524e+01 5.038176967730498035e+01 3.147071311701723062e+03 1.494164108987240297e+03 -2.850000000000000000e+01 7.204837500000000000e+05
