             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          41161943    shared       $1    mehul  R      10:08      1 node-0281
          41161944    shared       $1    mehul  R      10:08      1 node-0281
          41161945    shared       $1    mehul  R      10:08      1 node-0281
          41161946    shared       $1    mehul  R      10:08      1 node-0281
          41161947    shared       $1    mehul  R      10:08      1 node-0281
          41161948    shared       $1    mehul  R      10:08      1 node-0281
          41161949    shared       $1    mehul  R      10:08      1 node-0281
          41161950    shared       $1    mehul  R      10:08      1 node-0281
          41161951    shared       $1    mehul  R      10:08      1 node-0281
          41161952    shared       $1    mehul  R      10:08      1 node-0281
          41161953    shared       $1    mehul  R      10:08      1 node-0281
          41161954    shared       $1    mehul  R      10:08      1 node-0281
          41161955    shared       $1    mehul  R      10:08      1 node-0281
          41161958    shared       $1    mehul  R      10:08      1 node-0294
          41161959    shared       $1    mehul  R      10:08      1 node-0294
          41161960    shared       $1    mehul  R      10:08      1 node-0294
          41161962    shared       $1    mehul  R      10:08      1 node-0288
          41161963    shared       $1    mehul  R      10:08      1 node-0288
          41161964    shared       $1    mehul  R      10:08      1 node-0288
          41161966    shared       $1    mehul  R      10:08      1 node-0288
          41161967    shared       $1    mehul  R      10:08      1 node-0287
          41161968    shared       $1    mehul  R      10:08      1 node-0284
          41161969    shared       $1    mehul  R      10:08      1 node-0284
          41161970    shared       $1    mehul  R      10:08      1 node-0284
          41161971    shared       $1    mehul  R      10:08      1 node-0284
          41161972    shared       $1    mehul  R      10:08      1 node-0284
          41161973    shared       $1    mehul  R      10:08      1 node-0284
          41161974    shared       $1    mehul  R      10:08      1 node-0284
          41161975    shared       $1    mehul  R      10:08      1 node-0284
          41161976    shared       $1    mehul  R      10:08      1 node-0284
          41161863    shared       $1    mehul  R      10:11      1 node-0116
          41161864    shared       $1    mehul  R      10:11      1 node-0116
          41161865    shared       $1    mehul  R      10:11      1 node-0116
          41161866    shared       $1    mehul  R      10:11      1 node-0116
          41161867    shared       $1    mehul  R      10:11      1 node-0116
          41161868    shared       $1    mehul  R      10:11      1 node-0116
          41161869    shared       $1    mehul  R      10:11      1 node-0116
          41161870    shared       $1    mehul  R      10:11      1 node-0117
          41161871    shared       $1    mehul  R      10:11      1 node-0117
          41161872    shared       $1    mehul  R      10:11      1 node-0117
          41161873    shared       $1    mehul  R      10:11      1 node-0117
          41161874    shared       $1    mehul  R      10:11      1 node-0117
          41161875    shared       $1    mehul  R      10:11      1 node-0117
          41161876    shared       $1    mehul  R      10:11      1 node-0117
          41161877    shared       $1    mehul  R      10:11      1 node-0117
          41161878    shared       $1    mehul  R      10:11      1 node-0117
          41161880    shared       $1    mehul  R      10:11      1 node-0117
          41161881    shared       $1    mehul  R      10:11      1 node-0117
          41161882    shared       $1    mehul  R      10:11      1 node-0117
          41161883    shared       $1    mehul  R      10:11      1 node-0117
          41161884    shared       $1    mehul  R      10:11      1 node-0117
          41161885    shared       $1    mehul  R      10:11      1 node-0117
          41161886    shared       $1    mehul  R      10:11      1 node-0117
          41161887    shared       $1    mehul  R      10:11      1 node-0117
          41161889    shared       $1    mehul  R      10:11      1 node-0118
          41161890    shared       $1    mehul  R      10:11      1 node-0118
          41161891    shared       $1    mehul  R      10:11      1 node-0118
          41161892    shared       $1    mehul  R      10:11      1 node-0118
          41161893    shared       $1    mehul  R      10:11      1 node-0118
          41161894    shared       $1    mehul  R      10:11      1 node-0118
          41161895    shared       $1    mehul  R      10:11      1 node-0118
          41161896    shared       $1    mehul  R      10:11      1 node-0118
          41161897    shared       $1    mehul  R      10:11      1 node-0118
          41161898    shared       $1    mehul  R      10:11      1 node-0118
          41161899    shared       $1    mehul  R      10:11      1 node-0118
          41161901    shared       $1    mehul  R      10:11      1 node-0118
          41161902    shared       $1    mehul  R      10:11      1 node-0118
          41161903    shared       $1    mehul  R      10:11      1 node-0118
          41161904    shared       $1    mehul  R      10:11      1 node-0118
          41161905    shared       $1    mehul  R      10:11      1 node-0118
          41161906    shared       $1    mehul  R      10:11      1 node-0118
          41161907    shared       $1    mehul  R      10:11      1 node-0118
          41161908    shared       $1    mehul  R      10:11      1 node-0119
          41161909    shared       $1    mehul  R      10:11      1 node-0119
          41161910    shared       $1    mehul  R      10:11      1 node-0119
          41161911    shared       $1    mehul  R      10:11      1 node-0119
          41161912    shared       $1    mehul  R      10:11      1 node-0119
          41161913    shared       $1    mehul  R      10:11      1 node-0119
          41161914    shared       $1    mehul  R      10:11      1 node-0119
          41161915    shared       $1    mehul  R      10:11      1 node-0119
          41161916    shared       $1    mehul  R      10:11      1 node-0119
          41161917    shared       $1    mehul  R      10:11      1 node-0119
          41161918    shared       $1    mehul  R      10:11      1 node-0119
          41161919    shared       $1    mehul  R      10:11      1 node-0119
          41161920    shared       $1    mehul  R      10:11      1 node-0119
          41161921    shared       $1    mehul  R      10:11      1 node-0119
          41161807    shared       $1    mehul  R      10:14      1 node-0113
          41161808    shared       $1    mehul  R      10:14      1 node-0113
          41161809    shared       $1    mehul  R      10:14      1 node-0113
          41161810    shared       $1    mehul  R      10:14      1 node-0113
          41161811    shared       $1    mehul  R      10:14      1 node-0113
          41161812    shared       $1    mehul  R      10:14      1 node-0113
          41161813    shared       $1    mehul  R      10:14      1 node-0114
          41161814    shared       $1    mehul  R      10:14      1 node-0114
          41161815    shared       $1    mehul  R      10:14      1 node-0114
          41161816    shared       $1    mehul  R      10:14      1 node-0114
          41161817    shared       $1    mehul  R      10:14      1 node-0114
          41161818    shared       $1    mehul  R      10:14      1 node-0114
          41161819    shared       $1    mehul  R      10:14      1 node-0114
          41161820    shared       $1    mehul  R      10:14      1 node-0114
          41161821    shared       $1    mehul  R      10:14      1 node-0114
          41161822    shared       $1    mehul  R      10:14      1 node-0114
          41161823    shared       $1    mehul  R      10:14      1 node-0114
          41161824    shared       $1    mehul  R      10:14      1 node-0114
          41161825    shared       $1    mehul  R      10:14      1 node-0114
          41161826    shared       $1    mehul  R      10:14      1 node-0114
          41161827    shared       $1    mehul  R      10:14      1 node-0114
          41161828    shared       $1    mehul  R      10:14      1 node-0114
          41161829    shared       $1    mehul  R      10:14      1 node-0114
          41161830    shared       $1    mehul  R      10:14      1 node-0114
          41161831    shared       $1    mehul  R      10:14      1 node-0114
          41161832    shared       $1    mehul  R      10:14      1 node-0115
          41161833    shared       $1    mehul  R      10:14      1 node-0115
          41161834    shared       $1    mehul  R      10:14      1 node-0115
          41161835    shared       $1    mehul  R      10:14      1 node-0115
          41161836    shared       $1    mehul  R      10:14      1 node-0115
          41161837    shared       $1    mehul  R      10:14      1 node-0115
          41161838    shared       $1    mehul  R      10:14      1 node-0115
          41161839    shared       $1    mehul  R      10:14      1 node-0115
          41161840    shared       $1    mehul  R      10:14      1 node-0115
          41161841    shared       $1    mehul  R      10:14      1 node-0115
          41161842    shared       $1    mehul  R      10:14      1 node-0115
          41161843    shared       $1    mehul  R      10:14      1 node-0115
          41161844    shared       $1    mehul  R      10:14      1 node-0115
          41161845    shared       $1    mehul  R      10:14      1 node-0115
          41161846    shared       $1    mehul  R      10:14      1 node-0115
          41161847    shared       $1    mehul  R      10:14      1 node-0115
          41161848    shared       $1    mehul  R      10:14      1 node-0115
          41161849    shared       $1    mehul  R      10:14      1 node-0115
          41161850    shared       $1    mehul  R      10:14      1 node-0115
          41161851    shared       $1    mehul  R      10:14      1 node-0116
          41161852    shared       $1    mehul  R      10:14      1 node-0116
          41161853    shared       $1    mehul  R      10:14      1 node-0116
          41161854    shared       $1    mehul  R      10:14      1 node-0116
          41161855    shared       $1    mehul  R      10:14      1 node-0116
          41161856    shared       $1    mehul  R      10:14      1 node-0116
          41161857    shared       $1    mehul  R      10:14      1 node-0116
          41161858    shared       $1    mehul  R      10:14      1 node-0116
          41161859    shared       $1    mehul  R      10:14      1 node-0116
          41161860    shared       $1    mehul  R      10:14      1 node-0116
          41161861    shared       $1    mehul  R      10:14      1 node-0116
          41161862    shared       $1    mehul  R      10:14      1 node-0116
          41161744    shared       $1    mehul  R      10:17      1 node-0110
          41161745    shared       $1    mehul  R      10:17      1 node-0110
          41161746    shared       $1    mehul  R      10:17      1 node-0110
          41161747    shared       $1    mehul  R      10:17      1 node-0110
          41161748    shared       $1    mehul  R      10:17      1 node-0110
          41161749    shared       $1    mehul  R      10:17      1 node-0110
          41161750    shared       $1    mehul  R      10:17      1 node-0110
          41161751    shared       $1    mehul  R      10:17      1 node-0110
          41161752    shared       $1    mehul  R      10:17      1 node-0110
          41161753    shared       $1    mehul  R      10:17      1 node-0110
          41161754    shared       $1    mehul  R      10:17      1 node-0110
          41161755    shared       $1    mehul  R      10:17      1 node-0110
          41161756    shared       $1    mehul  R      10:17      1 node-0111
          41161757    shared       $1    mehul  R      10:17      1 node-0111
          41161758    shared       $1    mehul  R      10:17      1 node-0111
          41161759    shared       $1    mehul  R      10:17      1 node-0111
          41161760    shared       $1    mehul  R      10:17      1 node-0111
          41161761    shared       $1    mehul  R      10:17      1 node-0111
          41161762    shared       $1    mehul  R      10:17      1 node-0111
          41161763    shared       $1    mehul  R      10:17      1 node-0111
          41161764    shared       $1    mehul  R      10:17      1 node-0111
          41161765    shared       $1    mehul  R      10:17      1 node-0111
          41161766    shared       $1    mehul  R      10:17      1 node-0111
          41161767    shared       $1    mehul  R      10:17      1 node-0111
          41161768    shared       $1    mehul  R      10:17      1 node-0111
          41161769    shared       $1    mehul  R      10:17      1 node-0111
          41161770    shared       $1    mehul  R      10:17      1 node-0111
          41161771    shared       $1    mehul  R      10:17      1 node-0111
          41161772    shared       $1    mehul  R      10:17      1 node-0111
          41161773    shared       $1    mehul  R      10:17      1 node-0111
          41161774    shared       $1    mehul  R      10:17      1 node-0111
          41161775    shared       $1    mehul  R      10:17      1 node-0112
          41161776    shared       $1    mehul  R      10:17      1 node-0112
          41161777    shared       $1    mehul  R      10:17      1 node-0112
          41161778    shared       $1    mehul  R      10:17      1 node-0112
          41161779    shared       $1    mehul  R      10:17      1 node-0112
          41161780    shared       $1    mehul  R      10:17      1 node-0112
          41161781    shared       $1    mehul  R      10:17      1 node-0112
          41161782    shared       $1    mehul  R      10:17      1 node-0112
          41161783    shared       $1    mehul  R      10:17      1 node-0112
          41161784    shared       $1    mehul  R      10:17      1 node-0112
          41161785    shared       $1    mehul  R      10:17      1 node-0112
          41161786    shared       $1    mehul  R      10:17      1 node-0112
          41161787    shared       $1    mehul  R      10:17      1 node-0112
          41161789    shared       $1    mehul  R      10:17      1 node-0112
          41161790    shared       $1    mehul  R      10:17      1 node-0112
          41161791    shared       $1    mehul  R      10:17      1 node-0112
          41161792    shared       $1    mehul  R      10:17      1 node-0112
          41161793    shared       $1    mehul  R      10:17      1 node-0112
          41161794    shared       $1    mehul  R      10:17      1 node-0113
          41161795    shared       $1    mehul  R      10:17      1 node-0113
          41161796    shared       $1    mehul  R      10:17      1 node-0113
          41161797    shared       $1    mehul  R      10:17      1 node-0113
          41161798    shared       $1    mehul  R      10:17      1 node-0113
          41161799    shared       $1    mehul  R      10:17      1 node-0113
          41161800    shared       $1    mehul  R      10:17      1 node-0113
          41161801    shared       $1    mehul  R      10:17      1 node-0113
          41161802    shared       $1    mehul  R      10:17      1 node-0113
          41161803    shared       $1    mehul  R      10:17      1 node-0113
          41161804    shared       $1    mehul  R      10:17      1 node-0113
          41161805    shared       $1    mehul  R      10:17      1 node-0113
          41161806    shared       $1    mehul  R      10:17      1 node-0113
          41161685    shared       $1    mehul  R      10:20      1 node-0107
          41161686    shared       $1    mehul  R      10:20      1 node-0107
          41161687    shared       $1    mehul  R      10:20      1 node-0107
          41161688    shared       $1    mehul  R      10:20      1 node-0107
          41161689    shared       $1    mehul  R      10:20      1 node-0107
          41161690    shared       $1    mehul  R      10:20      1 node-0107
          41161691    shared       $1    mehul  R      10:20      1 node-0107
          41161692    shared       $1    mehul  R      10:20      1 node-0107
          41161693    shared       $1    mehul  R      10:20      1 node-0107
          41161694    shared       $1    mehul  R      10:20      1 node-0107
          41161695    shared       $1    mehul  R      10:20      1 node-0107
          41161696    shared       $1    mehul  R      10:20      1 node-0107
          41161697    shared       $1    mehul  R      10:20      1 node-0107
          41161698    shared       $1    mehul  R      10:20      1 node-0107
          41161699    shared       $1    mehul  R      10:20      1 node-0108
          41161700    shared       $1    mehul  R      10:20      1 node-0108
          41161701    shared       $1    mehul  R      10:20      1 node-0108
          41161702    shared       $1    mehul  R      10:20      1 node-0108
          41161703    shared       $1    mehul  R      10:20      1 node-0108
          41161704    shared       $1    mehul  R      10:20      1 node-0108
          41161705    shared       $1    mehul  R      10:20      1 node-0108
          41161706    shared       $1    mehul  R      10:20      1 node-0108
          41161707    shared       $1    mehul  R      10:20      1 node-0108
          41161708    shared       $1    mehul  R      10:20      1 node-0108
          41161709    shared       $1    mehul  R      10:20      1 node-0108
          41161710    shared       $1    mehul  R      10:20      1 node-0108
          41161711    shared       $1    mehul  R      10:20      1 node-0108
          41161712    shared       $1    mehul  R      10:20      1 node-0108
          41161713    shared       $1    mehul  R      10:20      1 node-0108
          41161714    shared       $1    mehul  R      10:20      1 node-0108
          41161715    shared       $1    mehul  R      10:20      1 node-0108
          41161716    shared       $1    mehul  R      10:20      1 node-0108
          41161717    shared       $1    mehul  R      10:20      1 node-0108
          41161718    shared       $1    mehul  R      10:20      1 node-0109
          41161719    shared       $1    mehul  R      10:20      1 node-0109
          41161720    shared       $1    mehul  R      10:20      1 node-0109
          41161721    shared       $1    mehul  R      10:20      1 node-0109
          41161722    shared       $1    mehul  R      10:20      1 node-0109
          41161723    shared       $1    mehul  R      10:20      1 node-0109
          41161724    shared       $1    mehul  R      10:20      1 node-0109
          41161725    shared       $1    mehul  R      10:20      1 node-0109
          41161726    shared       $1    mehul  R      10:20      1 node-0109
          41161727    shared       $1    mehul  R      10:20      1 node-0109
          41161728    shared       $1    mehul  R      10:20      1 node-0109
          41161729    shared       $1    mehul  R      10:20      1 node-0109
          41161730    shared       $1    mehul  R      10:20      1 node-0109
          41161731    shared       $1    mehul  R      10:20      1 node-0109
          41161732    shared       $1    mehul  R      10:20      1 node-0109
          41161733    shared       $1    mehul  R      10:20      1 node-0109
          41161734    shared       $1    mehul  R      10:20      1 node-0109
          41161737    shared       $1    mehul  R      10:20      1 node-0110
          41161738    shared       $1    mehul  R      10:20      1 node-0110
          41161739    shared       $1    mehul  R      10:20      1 node-0110
          41161740    shared       $1    mehul  R      10:20      1 node-0110
          41161741    shared       $1    mehul  R      10:20      1 node-0110
          41161742    shared       $1    mehul  R      10:20      1 node-0110
          41161743    shared       $1    mehul  R      10:20      1 node-0110
          41161626    shared       $1    mehul  R      10:23      1 node-0104
          41161627    shared       $1    mehul  R      10:23      1 node-0104
          41161628    shared       $1    mehul  R      10:23      1 node-0104
          41161629    shared       $1    mehul  R      10:23      1 node-0104
          41161630    shared       $1    mehul  R      10:23      1 node-0104
          41161631    shared       $1    mehul  R      10:23      1 node-0104
          41161632    shared       $1    mehul  R      10:23      1 node-0104
          41161633    shared       $1    mehul  R      10:23      1 node-0104
          41161634    shared       $1    mehul  R      10:23      1 node-0104
          41161635    shared       $1    mehul  R      10:23      1 node-0104
          41161636    shared       $1    mehul  R      10:23      1 node-0104
          41161637    shared       $1    mehul  R      10:23      1 node-0104
