filename,object,H,a (au),e,i (deg),JD of observation,RA (deg),Dec (deg),image ID,chip ID w/ trail,exposure time (s),time since last exposure (s),filter,g obs,r obs,i obs,"calculated rate of motion @ exp. time: dRA/dt, dDEC/dt [arcsec/min]",,tracking rates,,trail start location,,trail end location,,cross-track FWHM,"notes (e.g. image quality, confusion w/ star, etc.)"
1846768o22.flt,2015 VR64,27.4,1.49,0.38,1.53,2457340.0344598,122.369417,-27.834306,1846768,22,60,115,g.MP9402,1,0,0,65.102,-6.978633333,,,1579,1041,1570,1073,,
1846769o22.flt,2015 VR64,27.4,1.49,0.38,1.53,2457340.0394206,122.520708,-27.83725,1846769,22,60,429,r.MP9602,0,1,0,64.92736667,-6.834866667,,,1661,855,1650,884,,
1846770o22.flt,2015 VR64,27.4,1.49,0.38,1.53,2457340.0407519,122.561333,-27.838056,1846770,22,60,115,r.MP9602,0,1,0,64.88091667,-6.7962,,,1213,500,1204,513,,not sure if this is the same thing as the others
1852192o13.flt,2015 XA169,27.4,1.60,0.41,12.18,2457368.0017035,94.950833,39.766778,1852192,13,60,0,g.MP9402,1,0,0,19.12778333,33.94281667,,,1023,2077,1018,2135,,intersects a star trail
1852193o13.flt,2015 XA169,27.4,1.60,0.41,12.18,2457368.0029964,94.963708,39.779972,1852193,13,60,112,g.MP9402,1,0,0,19.13996667,33.93923333,,,1025,1987,1024,2032,,
1852194o13.flt,2015 XA169,27.4,1.60,0.41,12.18,2457368.0052534,94.986083,39.802833,1852194,13,60,195,r.MP9602,0,1,0,19.16151667,33.93293333,,,1026,1832,1028,1877,,
1852195o13.flt,2015 XA169,27.4,1.60,0.41,12.18,2457368.0065516,94.998958,39.815944,1852195,13,60,112,r.MP9602,0,1,0,19.17406667,33.92928333,,,1027,1740,1029,1791,,
1852196o13.flt,2015 XA169,27.4,1.60,0.41,12.18,2457368.0088346,95.021583,39.839083,1852196,13,60,197,i.MP9703,0,0,1,19.19641667,33.92286667,,,,,,,,something about these i band images
1852197o13.flt,2015 XA169,27.4,1.60,0.41,12.18,2457368.0101646,95.03475,39.852528,1852197,13,60,115,i.MP9703,0,0,1,19.20961667,33.9191,,,,,,,,
1852353o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8489841,53.736792,-23.2165,1852353,22,60,0,g.MP9402,1,0,0,8.744566667,3.226146667,,,1175,3015,1175,3049,,
1852354o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8503284,53.742083,-23.211056,1852354,22,60,116,g.MP9402,1,0,0,8.741255,3.232678333,,,1178,2942,1176,2980,,
1852355o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8516369,53.747333,-23.205722,1852355,22,60,113,g.MP9402,1,0,0,8.738171667,3.239035,,,1182,2873,1182,2911,,
1852356o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8529488,53.7525,-23.200361,1852356,22,60,113,g.MP9402,1,0,0,8.735221667,3.245406667,,,1185,2802,1182,2843,,go back to this
1852357o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8553283,53.761917,-23.190694,1852357,22,60,206,r.MP9602,0,1,0,8.730226667,3.256955,,,1192,2674,1191,2710,,
1852358o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8566492,53.767208,-23.18525,1852358,22,60,114,r.MP9602,0,1,0,8.727655,3.263361667,,,1197,2606,1197,2641,,
1852359o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8580058,53.772542,-23.179694,1852359,22,60,117,r.MP9602,0,1,0,8.72516,3.269936667,,,1198,2537,1197,2572,,
1852360o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8593886,53.778042,-23.174111,1852360,22,60,119,r.MP9602,0,1,0,8.722771667,3.276633333,,,1204,2460,1205,2496,,
1852361o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8617432,53.787458,-23.164528,1852361,22,60,203,i.MP9703,0,0,1,8.719061667,3.288025,,,1214,2340,1212,2367,,lil fuzzy
1852362o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8631097,53.792792,-23.158972,1852362,22,60,118,i.MP9703,0,0,1,8.717116667,3.294628333,,,1214,2260,1213,2295,,
1852363o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8644738,53.798208,-23.153417,1852363,22,60,118,i.MP9703,0,0,1,8.715325,3.301213333,,,1222,2190,1221,2225,,
1852364o22.flt,2015 XD169,26.9,1.08,0.12,3.79,2457368.8658203,53.803542,-23.147917,1852364,22,60,116,i.MP9703,0,0,1,8.713705,3.307705,,,1225,2121,1224,2153,,
1851142o13.flt,2015 XN55,27.2,1.21,0.25,3.18,2457363.9695597,66.531792,17.842444,1851142,13,60,0,g.MP9402,1,0,0,-0.96726,3.831441667,,,,,,,,dont know if i can convincingly pin this down
1851143o13.flt,2015 XN55,27.2,1.21,0.25,3.18,2457363.9708866,66.531208,17.848278,1851143,13,60,115,g.MP9402,1,0,0,-0.963435,3.82968,,,,,,,,
1851144o13.flt,2015 XN55,27.2,1.21,0.25,3.18,2457363.9731313,66.53025,17.858111,1851144,13,60,194,r.MP9602,0,1,0,-0.956775,3.82672,,,,,,,,
1851145o13.flt,2015 XN55,27.2,1.21,0.25,3.18,2457363.9745028,66.529667,17.864194,1851145,13,60,118,r.MP9602,0,1,0,-0.9525883333,3.824925,,,,,,,,
1851146o13.flt,2015 XN55,27.2,1.21,0.25,3.18,2457363.9767814,66.528708,17.874222,1851146,13,60,197,i.MP9703,0,0,1,-0.9454366667,3.821963333,,,,,,,,
1851147o13.flt,2015 XN55,27.2,1.21,0.25,3.18,2457363.9781158,66.528125,17.880083,1851147,13,60,115,i.MP9703,0,0,1,-0.941135,3.820243333,,,,,,,,
1852341o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8303129,48.284458,18.456528,1852341,04,60,0,r.MP9602,0,1,0,-43.45283333,-9.514416667,,,1516,4109,1528,4168,,
1852342o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8316039,48.261792,18.44575,1852342,04,60,112,r.MP9602,0,1,0,-43.523,-9.547,,,1503,3996,1510,4051,,
1852343o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8329115,48.23875,18.434833,1852343,04,60,113,r.MP9602,0,1,0,-43.594,-9.580083333,,,1488,3882,1496,3943,,
1852344o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8342156,48.215708,18.423972,1852344,04,60,113,r.MP9602,0,1,0,-43.66466667,-9.613166667,,,1470,3770,1477,3824,,
1852345o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8366347,48.173,18.403833,1852345,04,60,209,i.MP9703,0,0,1,-43.795,-9.674766667,,,1440,3560,1447,3619,,
1852346o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8379415,48.149917,18.392944,1852346,04,60,113,i.MP9703,0,0,1,-43.86533333,-9.708166667,,,1419,3447,1430,3504,,
1852347o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8392483,48.126917,18.381917,1852347,04,60,113,i.MP9703,0,0,1,-43.93516667,-9.74165,,,1399,3336,1409,3392,,
1852348o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8405571,48.103792,18.371083,1852348,04,60,113,i.MP9703,0,0,1,-44.00516667,-9.775266667,,,1374,3220,1388,3276,,
1852349o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8429835,48.061333,18.350972,1852349,04,60,210,g.MP9402,1,0,0,-44.13416667,-9.8378,,,1331,3022,1347,3081,,
1852350o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8443281,48.037625,18.339778,1852350,04,60,116,g.MP9402,1,0,0,-44.20533333,-9.872566667,,,1311,2907,1322,2968,,
1852351o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8456847,48.013542,18.328361,1852351,04,60,117,g.MP9402,1,0,0,-44.277,-9.90775,,,1281,2793,1295,2850,,intersects star
1852352o04.flt,2015 XR169,28.7,1.20,0.34,0.04,2457368.8469863,47.990667,18.317583,1852352,04,60,112,g.MP9402,1,0,0,-44.3455,-9.941566667,,,1260,2693,1271,2737,,
1850983o13.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.0784792,79.852292,13.7125,1850983,13,60,0,g.MP9402,1,0,0,20.77415,-14.49815,,,1193,3673,1191,3707,,
1850984o13.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.0797824,79.863375,13.708722,1850984,13,60,113,g.MP9402,1,0,0,20.79335,-14.50871667,,,1192,3737,1192,3774,,
1850985o13.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.0820470,79.882625,13.702222,1850985,13,60,196,r.MP9602,0,1,0,20.82688333,-14.52705,,,1187,3853,1190,3890,,
1850986o13.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.0833652,79.893792,13.698278,1850986,13,60,114,r.MP9602,0,1,0,20.84651667,-14.53771667,,,1191,3921,1191,3957,,
1850987o13.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.0856272,79.912958,13.691833,1850987,13,60,195,i.MP9703,0,0,1,20.88036667,-14.55596667,,,1192,4037,1193,4071,,
1850988o13.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.0869392,79.924042,13.688083,1850988,13,60,113,i.MP9703,0,0,1,20.9001,-14.56653333,,,1191,4106,1191,4137,,
1851148o22.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.9797029,89.535667,7.496667,1851148,22,60,0,i.MP9703,0,0,1,29.50276667,-21.86816667,,,865,1970,864,2028,,intersects star
1851149o22.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.9810898,89.551958,7.490806,1851149,22,60,120,i.MP9703,0,0,1,29.51978333,-21.88366667,,,858,1848,862,1908,,
1851150o22.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.9835268,89.580417,7.480528,1851150,22,60,211,g.MP9402,1,0,0,29.55,-21.911,,,853,1633,855,1694,,
1851151o22.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.9848525,89.596,7.474917,1851151,22,60,115,g.MP9402,1,0,0,29.5666,-21.92583333,,,850,1516,851,1577,,intersects star
