# id ra dec s L A b x y a flux
0.000000000000000000e+00 1.554282197313895892e+02 5.996707089964747439e+00 1.975948595363856475e+00 1.393133713552496147e+02 8.954929178257319222e+01 8.770805317851778682e+01 3.959834419834113760e+03 1.582073252611304952e+03 8.109999999999999432e+01 2.527252400000000000e+07
1.000000000000000000e+00 1.554306510239139811e+02 6.006228739733264987e+00 2.139892884810893570e+00 1.397338154858220207e+02 9.000035544582370051e+01 9.063682012763595708e+01 4.133298902163357525e+03 1.657437355529511706e+03 8.109999999999999432e+01 2.807034000000000000e+06
2.000000000000000000e+00 1.554298727433463512e+02 6.007485172807038865e+00 2.523802686542789164e+00 1.395586544395499686e+02 8.959700599456959935e+01 8.902357818767831077e+01 4.159766549402772398e+03 1.645833696441278107e+03 8.109999999999999432e+01 7.138375000000000000e+06
3.000000000000000000e+00 1.554454761146640749e+02 6.012816353194612162e+00 4.521907819075491552e+00 1.474168191620082098e+02 9.029457514743657498e+01 9.065907211136187982e+01 4.215360474685546251e+03 1.957458467268405457e+03 8.109999999999999432e+01 6.947577500000000000e+05
4.000000000000000000e+00 1.554251388858432108e+02 6.030815458935911977e+00 5.128052201082773820e+00 1.498866604917102450e+02 9.000074460398353438e+01 8.520097282394307570e+01 4.616995862600216242e+03 1.625912830411373079e+03 8.109999999999999432e+01 6.467361875000000000e+05
5.000000000000000000e+00 1.554693845710248752e+02 5.967496501808308373e+00 4.354019718295037755e+00 1.468607496869374245e+02 8.985709156550304044e+01 8.950826698569514406e+01 3.281807075939872448e+03 2.275342109079297188e+03 8.109999999999999432e+01 6.307166250000000000e+05
6.000000000000000000e+00 1.554638167624297580e+02 5.956393136925640874e+00 3.295421054313425469e+00 1.441893277790917693e+02 8.977234884675185356e+01 8.990025383839133610e+01 3.087822010647591014e+03 2.136997303230506077e+03 8.109999999999999432e+01 9.416626250000000000e+05
7.000000000000000000e+00 1.554474293307303014e+02 5.938806498330338357e+00 2.263678154292033451e+00 1.402386762896399546e+02 8.984773026917861216e+01 9.006765472314214094e+01 2.801472162113202558e+03 1.773114049520771232e+03 8.109999999999999432e+01 1.777069875000000000e+06
8.000000000000000000e+00 1.553884276805229376e+02 5.936779996346659871e+00 2.623769806014277339e+00 1.414903256366309563e+02 8.979624862549114539e+01 8.987814194768192522e+01 2.937756109161219683e+03 6.511627089050657560e+02 8.109999999999999432e+01 1.221253375000000000e+06
9.000000000000000000e+00 1.554312132463791727e+02 5.916324674430202712e+00 2.229758926933070651e+00 1.401734318452486718e+02 8.981359153330146228e+01 8.997284161601720598e+01 2.421433931926771947e+03 1.400250450002798061e+03 8.109999999999999432e+01 1.940295750000000000e+06
1.000000000000000000e+01 1.554219995036661714e+02 5.916439005535993445e+00 4.951784797801847660e+00 1.481202155885602281e+02 9.008529633536686276e+01 9.005220271679355903e+01 2.451494150268397789e+03 1.225304977017742885e+03 8.109999999999999432e+01 6.597925000000000000e+05
1.100000000000000000e+01 1.554009703239589442e+02 5.920044129383665421e+00 4.361612920261635828e+00 1.466397465556350710e+02 8.988027243545779754e+01 8.927591141376051098e+01 2.581826896534070784e+03 8.383617414458775556e+02 8.109999999999999432e+01 7.009702500000000000e+05
1.200000000000000000e+01 1.553832424392659561e+02 5.900336708782674577e+00 2.321282910891548923e+00 1.405283262782886595e+02 8.974588541961240651e+01 8.977589283904521267e+01 2.259479693750436581e+03 4.451342441148988200e+02 8.109999999999999432e+01 1.491446750000000000e+06
1.300000000000000000e+01 1.554150842060347202e+02 5.886855766159223791e+00 5.481564422456458807e+00 1.474459690984642464e+02 9.018605690424229238e+01 9.022364367251692840e+01 1.909004129231171191e+03 1.007237982016120100e+03 8.109999999999999432e+01 8.274325000000000000e+05
1.400000000000000000e+01 1.553876256760385957e+02 5.887396817357723577e+00 6.000843589167660141e+00 1.510488674818106176e+02 9.017317107383051678e+01 8.897597948819526437e+01 2.000538796767964641e+03 4.887417604655612422e+02 8.109999999999999432e+01 9.302214375000000000e+05
1.500000000000000000e+01 1.554471173110696043e+02 5.878662679726506468e+00 2.111923067637110574e+00 1.399081521791514717e+02 8.946209751236311547e+01 8.887641051926517832e+01 1.657972597255988148e+03 1.588377011131408381e+03 8.109999999999999432e+01 2.487014750000000000e+06
1.600000000000000000e+01 1.554334381246481769e+02 5.877178677984329802e+00 5.353069793770641738e+00 1.491465736371089577e+02 9.007179882529615611e+01 9.104349219935512849e+01 1.670671576242884839e+03 1.324488530533433050e+03 8.109999999999999432e+01 7.897841250000000000e+05
1.700000000000000000e+01 1.554257494608611125e+02 5.875564479475840152e+00 3.855402978640161127e+00 1.455776577115859709e+02 8.974178483528964989e+01 8.930277373872046098e+01 1.662397544233953568e+03 1.174249534407172405e+03 8.109999999999999432e+01 6.986295625000000000e+05
1.800000000000000000e+01 1.554752225465365711e+02 5.815102673839628089e+00 2.011275276375819931e+00 1.396981958761952285e+02 8.982131916503725222e+01 8.992891579561413096e+01 3.663696323294116155e+02 1.930969578993078585e+03 8.109999999999999432e+01 4.558736000000000000e+06
1.900000000000000000e+01 1.554579786447345953e+02 5.803568907841828661e+00 2.268697212881281011e+00 1.404767153555775394e+02 8.975883145958320597e+01 8.991141553147002696e+01 1.977967432247918396e+02 1.570873026054790898e+03 8.109999999999999432e+01 1.647810250000000000e+06
